alert_id,alert_type,timestamp,src_ip,src_port,dest_ip,dest_port,infected_host,step
1,hash_alert,1462692695.0,149.170.10.1,52080,191.218.163.1,80,149.170.10.1,S1
2,domain_flux_alert,1462857370.0,149.170.10.1,61057,149.170.39.93,53,149.170.10.1,S2
3,nc_alert,1463297496.0,,,,,,S6
4,disguised_exe_alert,1466695088.0,149.170.109.77,58215,173.176.192.220,80,149.170.109.77,S1
5,ssl_alert,1466933174.0,149.170.109.77,53043,109.135.143.128,443,149.170.109.77,S2
6,brute_force_alert,1467067583.0,149.170.109.77,50197,149.170.36.175,582,149.170.109.77,S3
7,scan_alert,1467252502.0,149.170.109.77,51536,149.170.164.148,609,149.170.109.77,S4
8,tor_alert,1467253381.0,149.170.109.77,58771,54.251.208.180,443,149.170.109.77,S5
9,hash_alert,1455009108.0,149.170.26.227,61963,106.212.7.56,80,149.170.26.227,S1
10,ssl_alert,1455218354.0,149.170.26.227,54565,233.96.56.99,443,149.170.26.227,S2
11,tor_alert,1455221295.0,149.170.26.227,55173,78.47.229.107,443,149.170.26.227,S5
12,disguised_exe_alert,1456098479.0,149.170.188.144,51816,116.164.171.201,80,149.170.188.144,S1
13,ip_alert,1456242604.0,149.170.188.144,61505,176.28.10.253,443,149.170.188.144,S2
14,scan_alert,1456277812.0,149.170.188.144,54506,149.170.175.247,290,149.170.188.144,S4
15,tor_alert,1456683177.0,149.170.188.144,60722,95.113.255.134,443,149.170.188.144,S5
16,disguised_exe_alert,1463016000.0,149.170.231.57,64510,71.186.47.191,80,149.170.231.57,S1
17,ssl_alert,1463021894.0,149.170.231.57,53977,157.197.166.75,443,149.170.231.57,S2
18,scan_alert,1463142432.0,149.170.231.57,61290,149.170.75.28,141,149.170.231.57,S4
19,tor_alert,1463438942.0,149.170.231.57,53400,193.0.74.146,443,149.170.231.57,S5
20,disguised_exe_alert,1451756558.0,149.170.144.119,56153,216.62.68.35,80,149.170.144.119,S1
21,ip_alert,1451871189.0,149.170.144.119,50358,103.16.26.228,443,149.170.144.119,S2
22,pass_hash_alert,1452349646.0,149.170.144.119,54421,149.170.153.249,66,149.170.144.119,S3
23,nc_alert,1452361359.0,,,,,,S6
24,disguised_exe_alert,1461733756.0,149.170.134.242,52038,247.138.82.207,80,149.170.134.242,S1
25,ip_alert,1461849902.0,149.170.134.242,53243,92.53.124.62,443,149.170.134.242,S2
26,nc_alert,1462338557.0,,,,,,S6
